2.9016e+05,1.3911e+07,2.0752e+07,1.3589e+07,1.3604e+07,1.2658e+07
1.1954e+06,4.0541e+07,3.8483e+07,3.5089e+07,4.393e+07,3.5036e+07
44839,4.9569e+06,4.6271e+06,5.5658e+06,5.5752e+06,5.4522e+06
7.1425e+05,2.757e+07,2.3282e+07,2.8913e+07,2.7583e+07,2.8389e+07
3.6574e+05,1.6956e+07,1.6428e+07,1.6022e+07,1.6415e+07,1.4648e+07
8.7235e+05,3.6959e+07,4.5069e+07,3.5588e+07,3.6699e+07,3.3969e+07
5.7624e+05,1.9959e+07,2.0624e+07,2.1721e+07,2.1029e+07,2.1768e+07
70460,4.116e+06,3.874e+06,4.1733e+06,4.2353e+06,4.1419e+06
50268,3.6082e+06,4.5e+06,3.3391e+06,3.2502e+06,3.4717e+06
5.9507e+05,2.585e+07,2.6526e+07,2.4652e+07,2.5318e+07,2.3461e+07
60188,6.4196e+06,6.1207e+06,6.3554e+06,6.584e+06,6.611e+06
30743,2.9961e+06,2.9123e+06,3.2366e+06,2.869e+06,2.7451e+06
2.6648e+05,1.1586e+07,1.0981e+07,1.0684e+07,1.241e+07,1.2551e+07
2.3698e+06,1.0977e+08,2.422e+08,9.6752e+07,9.9769e+07,1.1283e+08
5.763e+05,2.3302e+07,2.2715e+07,2.0682e+07,2.1349e+07,2.1691e+07
5.4365e+05,1.9741e+07,1.9569e+07,1.8226e+07,1.8209e+07,1.8047e+07
3.3358e+05,1.6701e+07,2.3643e+07,1.4966e+07,1.5205e+07,1.7412e+07
73124,4.2611e+06,3.9906e+06,3.8008e+06,4.2311e+06,3.71e+06
2.666e+05,1.6285e+07,1.5373e+07,1.8621e+07,1.8518e+07,1.8411e+07
5.1242e+05,2.2653e+07,2.3739e+07,2.1831e+07,2.2045e+07,2.0764e+07
5.4174e+05,2.0014e+07,1.795e+07,2.22e+07,2.1498e+07,2.1507e+07
1950,1.7018e+06,1.5248e+06,1.4666e+06,1.4685e+06,1.4584e+06
2.3698e+06,1.1244e+08,1.296e+08,9.9711e+07,1.0369e+08,1.0046e+08
